epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,455.359,1.61745,3.34546,1.79637,1.49185,0.40747,0.3703,0.35559,0.18808,0.36832,0.33846,0.27865,0.12124,1.65014,3.24966,1.84353,1.54757,0.00182294,0.00182294,0.00182294
31,470.44,1.60212,3.39318,1.78768,1.47643,0.44029,0.39121,0.36712,0.19243,0.40889,0.35727,0.30114,0.13114,1.5822,3.18879,1.82596,1.48636,0.00181093,0.00181093,0.00181093
32,486.143,1.58119,3.33663,1.73944,1.46201,0.38843,0.39341,0.33759,0.17974,0.38777,0.34066,0.27337,0.11664,1.61972,3.30159,1.88282,1.51188,0.00179856,0.00179856,0.00179856
33,500.569,1.61539,3.40064,1.78124,1.48379,0.48967,0.38462,0.39368,0.1966,0.45873,0.35165,0.32969,0.13853,1.61277,3.21815,1.8092,1.51192,0.00178586,0.00178586,0.00178586
34,514.713,1.50841,3.20291,1.72026,1.4246,0.48417,0.37958,0.37978,0.19648,0.44261,0.35824,0.32549,0.1361,1.59184,3.2209,1.7753,1.49335,0.00177281,0.00177281,0.00177281
35,529.739,1.54385,3.18701,1.74257,1.45253,0.42433,0.38462,0.35808,0.18956,0.39495,0.33626,0.29612,0.12611,1.61321,3.25434,1.81368,1.49124,0.00175943,0.00175943,0.00175943
36,543.932,1.58014,3.28561,1.72309,1.46137,0.38726,0.39588,0.32323,0.16589,0.34409,0.34945,0.26804,0.10689,1.58835,3.32776,1.98166,1.50434,0.00174571,0.00174571,0.00174571
37,559.438,1.60213,3.32447,1.76515,1.48998,0.44087,0.36044,0.32667,0.16323,0.40774,0.33626,0.28883,0.11854,1.65516,3.27749,1.95164,1.53657,0.00173168,0.00173168,0.00173168
38,574.393,1.6101,3.30015,1.74673,1.49992,0.47045,0.35385,0.36031,0.19398,0.41575,0.31648,0.2928,0.12732,1.64497,3.2949,1.80917,1.53163,0.00171733,0.00171733,0.00171733
39,589.989,1.55838,3.22031,1.69816,1.47062,0.52138,0.33626,0.36371,0.19562,0.50271,0.32967,0.32003,0.13357,1.63851,3.31842,1.83411,1.53811,0.00170267,0.00170267,0.00170267
40,604.663,1.5138,3.22968,1.69257,1.43635,0.46361,0.36092,0.34791,0.18894,0.42516,0.33187,0.28481,0.12487,1.63882,3.23277,1.79821,1.50966,0.0016877,0.0016877,0.0016877
41,619.088,1.57686,3.30407,1.76297,1.45944,0.42599,0.44396,0.39293,0.20859,0.3864,0.40966,0.33228,0.1379,1.58593,3.22307,1.77832,1.50183,0.00167244,0.00167244,0.00167244
42,633.343,1.50793,3.14696,1.66539,1.42879,0.42654,0.41978,0.39451,0.21622,0.40217,0.39328,0.3434,0.14457,1.55974,3.15496,1.71905,1.4757,0.00165689,0.00165689,0.00165689
43,649.05,1.54429,3.22485,1.65978,1.45882,0.46466,0.41968,0.38597,0.20189,0.42807,0.36703,0.31435,0.14118,1.64064,3.17653,1.75171,1.53159,0.00164105,0.00164105,0.00164105
44,663.686,1.5306,3.14221,1.70594,1.45339,0.47789,0.37802,0.38114,0.20401,0.45653,0.36044,0.32932,0.13736,1.66421,3.22898,1.79723,1.54898,0.00162494,0.00162494,0.00162494
45,679.679,1.57798,3.20394,1.72271,1.50387,0.42721,0.41319,0.38536,0.20475,0.44156,0.34505,0.32091,0.13457,1.62612,3.19221,1.81612,1.52433,0.00160855,0.00160855,0.00160855
46,693.957,1.56365,3.21538,1.70696,1.46288,0.46966,0.36201,0.38122,0.19554,0.42208,0.33187,0.30756,0.12983,1.64206,3.24429,1.80781,1.52384,0.00159191,0.00159191,0.00159191
47,709.327,1.51812,3.2036,1.66817,1.43487,0.4901,0.35604,0.35032,0.17561,0.43431,0.32967,0.28451,0.11992,1.63657,3.25749,1.81321,1.50956,0.00157501,0.00157501,0.00157501
48,723.584,1.50128,3.15811,1.6714,1.42569,0.44425,0.4076,0.39476,0.20955,0.40312,0.36703,0.33342,0.14087,1.5898,3.16446,1.74531,1.49334,0.00155786,0.00155786,0.00155786
49,740.7,1.47091,3.08839,1.65109,1.41153,0.4522,0.41978,0.3779,0.18735,0.42535,0.36264,0.32143,0.12926,1.65677,3.24874,1.74884,1.53248,0.00154047,0.00154047,0.00154047
50,754.901,1.5166,3.16631,1.62523,1.42571,0.45507,0.38462,0.37212,0.1893,0.41334,0.36264,0.31645,0.13209,1.65002,3.14203,1.83649,1.51583,0.00152285,0.00152285,0.00152285
51,769.32,1.48298,3.13492,1.63559,1.40584,0.49443,0.38681,0.38925,0.20661,0.4461,0.34066,0.3273,0.13684,1.5755,3.15045,1.75399,1.49592,0.001505,0.001505,0.001505
52,785.516,1.47754,3.1646,1.66736,1.42711,0.44602,0.41758,0.38359,0.20562,0.4415,0.35824,0.32471,0.14082,1.5765,3.20117,1.76428,1.50267,0.00148694,0.00148694,0.00148694
53,799.781,1.46315,3.16643,1.63281,1.41067,0.51918,0.37802,0.39742,0.21293,0.47869,0.35604,0.33191,0.13737,1.58778,3.25468,1.73066,1.49256,0.00146866,0.00146866,0.00146866
54,814.931,1.50118,3.13594,1.62705,1.42741,0.52245,0.35824,0.38659,0.20325,0.51848,0.31648,0.31899,0.13233,1.64583,3.28765,1.798,1.5384,0.00145019,0.00145019,0.00145019
55,829.225,1.46079,3.17387,1.60909,1.40518,0.44203,0.39121,0.36331,0.18317,0.427,0.37015,0.31206,0.12604,1.59777,3.22748,1.86982,1.5084,0.00143152,0.00143152,0.00143152
56,844.583,1.42927,3.12073,1.5872,1.39321,0.50221,0.38681,0.39628,0.20734,0.41567,0.37582,0.32,0.13609,1.5693,3.14638,1.73945,1.50434,0.00141267,0.00141267,0.00141267
57,858.716,1.45256,3.12476,1.62971,1.42196,0.43585,0.44396,0.40816,0.21716,0.39486,0.4022,0.33662,0.14168,1.57427,3.1865,1.77699,1.49682,0.00139364,0.00139364,0.00139364
58,872.825,1.43343,3.06255,1.60694,1.38387,0.43825,0.39121,0.35011,0.18649,0.41977,0.36044,0.3005,0.12222,1.5733,3.19749,1.80103,1.4606,0.00137444,0.00137444,0.00137444
59,888.187,1.41636,3.02223,1.57567,1.37024,0.49365,0.33407,0.36526,0.20586,0.45175,0.31148,0.31298,0.13594,1.57852,3.23876,1.75753,1.49956,0.00135509,0.00135509,0.00135509
60,902.63,1.37783,3.03865,1.51555,1.36608,0.42931,0.42198,0.38039,0.20409,0.41331,0.36484,0.31843,0.13558,1.62173,3.17602,1.80087,1.52662,0.00133558,0.00133558,0.00133558
61,918.286,1.45551,3.05672,1.55475,1.39392,0.44699,0.41758,0.37839,0.19848,0.43032,0.35165,0.31989,0.13316,1.58901,3.1789,1.75245,1.49915,0.00131593,0.00131593,0.00131593
62,932.373,1.42737,3.10319,1.5334,1.37573,0.47812,0.43493,0.40309,0.21039,0.446,0.39121,0.34666,0.14432,1.59696,3.14495,1.72561,1.50284,0.00129614,0.00129614,0.00129614
63,948.046,1.48717,3.18126,1.63854,1.43216,0.51093,0.38242,0.39326,0.21223,0.48399,0.35456,0.33529,0.13925,1.58769,3.14282,1.72987,1.47739,0.00127623,0.00127623,0.00127623
64,962.766,1.42657,3.00575,1.57031,1.38574,0.49662,0.38462,0.39172,0.20574,0.49593,0.32527,0.33501,0.13755,1.59197,3.19356,1.7629,1.50295,0.0012562,0.0012562,0.0012562
65,976.887,1.38647,2.97197,1.53539,1.36797,0.51544,0.36484,0.38192,0.20795,0.4583,0.35165,0.32491,0.13291,1.59297,3.25201,1.74788,1.49378,0.00123607,0.00123607,0.00123607
